zip_code,state_code,state_name,city,time_zone
99682,AK,Alaska,Tyonek,America/Anchorage
99901,AK,Alaska,Ketchikan,America/Juneau
99928,AK,Alaska,Ward Cove,America/Juneau
99950,AK,Alaska,Ketchikan,America/Juneau
99550,AK,Alaska,Port Lions,America/Anchorage
99608,AK,Alaska,Karluk,America/Anchorage
99615,AK,Alaska,Kodiak,America/Anchorage
99619,AK,Alaska,Kodiak,America/Anchorage
99624,AK,Alaska,Larsen Bay,America/Anchorage
99643,AK,Alaska,Old Harbor,America/Anchorage
99644,AK,Alaska,Ouzinkie,America/Anchorage
99697,AK,Alaska,Kodiak,America/Anchorage
99548,AK,Alaska,Chignik Lake,America/Anchorage
99549,AK,Alaska,Port Heiden,America/Anchorage
99564,AK,Alaska,Chignik,America/Anchorage
99565,AK,Alaska,Chignik Lagoon,America/Anchorage
99579,AK,Alaska,Egegik,America/Anchorage
99606,AK,Alaska,Iliamna,America/Anchorage
99625,AK,Alaska,Levelock,America/Anchorage
99640,AK,Alaska,Nondalton,America/Anchorage
99647,AK,Alaska,Pedro Bay,America/Anchorage
99648,AK,Alaska,Perryville,America/Anchorage
99649,AK,Alaska,Pilot Point,America/Anchorage
99653,AK,Alaska,Port Alsworth,America/Anchorage
99623,AK,Alaska,Wasilla,America/Anchorage
99629,AK,Alaska,Wasilla,America/Anchorage
99645,AK,Alaska,Palmer,America/Anchorage
99652,AK,Alaska,Big Lake,America/Anchorage
99654,AK,Alaska,Wasilla,America/Anchorage
99667,AK,Alaska,Skwentna,America/Anchorage
99674,AK,Alaska,Sutton,America/Anchorage
99676,AK,Alaska,Talkeetna,America/Anchorage
99683,AK,Alaska,Trapper Creek,America/Anchorage
99687,AK,Alaska,Wasilla,America/Anchorage
99688,AK,Alaska,Willow,America/Anchorage
99694,AK,Alaska,Houston,America/Anchorage
99659,AK,Alaska,Saint Michael,America/Nome
99671,AK,Alaska,Stebbins,America/Nome
99684,AK,Alaska,Unalakleet,America/Nome
99739,AK,Alaska,Elim,America/Nome
99742,AK,Alaska,Gambell,America/Nome
99753,AK,Alaska,Koyuk,America/Nome
99762,AK,Alaska,Nome,America/Nome
99769,AK,Alaska,Savoonga,America/Nome
99771,AK,Alaska,Shaktoolik,America/Nome
99772,AK,Alaska,Shishmaref,America/Nome
99778,AK,Alaska,Teller,America/Nome
99783,AK,Alaska,Wales,America/Nome
99784,AK,Alaska,White Mountain,America/Nome
99785,AK,Alaska,Brevig Mission,America/Nome
99721,AK,Alaska,Anaktuvuk Pass,America/Anchorage
99723,AK,Alaska,Barrow,America/Anchorage
99734,AK,Alaska,Prudhoe Bay,America/Anchorage
99747,AK,Alaska,Kaktovik,America/Anchorage
99759,AK,Alaska,Point Lay,America/Anchorage
99766,AK,Alaska,Point Hope,America/Anchorage
99782,AK,Alaska,Wainwright,America/Anchorage
99789,AK,Alaska,Nuiqsut,America/Anchorage
99791,AK,Alaska,Atqasuk,America/Anchorage
99727,AK,Alaska,Buckland,America/Anchorage
99736,AK,Alaska,Deering,America/Nome
99749,AK,Alaska,Kiana,America/Nome
99750,AK,Alaska,Kivalina,America/Nome
99751,AK,Alaska,Kobuk,America/Nome
